Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards,Season,Season_Year
1.0,Pete Maravich,29.0,NOJ,SG,73.0,,41.7,12.1,28.0,0.433,6.9,8.2,0.835,1.2,3.9,5.1,5.4,1.2,0.3,2.6,31.1,"MVP-3,AS,NBA1",1976-77,1977
2.0,Billy Knight,24.0,IND,SF,78.0,,40.0,10.7,21.6,0.493,5.3,6.5,0.816,2.9,4.6,7.5,3.3,1.5,0.2,2.5,26.6,AS,1976-77,1977
3.0,Kareem Abdul-Jabbar,29.0,LAL,C,82.0,82.0,36.8,10.8,18.7,0.579,4.6,6.5,0.701,3.2,10.0,13.3,3.9,1.2,3.2,3.2,26.2,"MVP-1,AS,NBA1",1976-77,1977
4.0,David Thompson,22.0,DEN,SG,82.0,82.0,36.6,10.0,19.8,0.507,5.8,7.6,0.766,1.7,2.4,4.1,4.1,1.4,0.6,2.9,25.9,"MVP-7,AS,NBA1",1976-77,1977
5.0,Bob McAdoo,25.0,2TM,C,72.0,49.0,38.9,10.3,20.1,0.512,5.3,7.2,0.738,2.8,10.1,12.9,2.8,1.1,1.4,3.6,25.8,AS,1976-77,1977
6.0,Bob McAdoo,25.0,BUF,C,20.0,,38.4,9.1,20.0,0.455,5.5,7.9,0.696,3.3,9.9,13.2,3.3,0.8,1.7,3.7,23.7,,1976-77,1977
7.0,Bob McAdoo,25.0,NYK,C,52.0,49.0,39.1,10.7,20.1,0.534,5.2,6.9,0.757,2.6,10.2,12.7,2.7,1.2,1.3,3.6,26.7,,1976-77,1977
8.0,Bob Lanier,28.0,DET,C,64.0,,38.2,10.6,19.8,0.534,4.1,5.0,0.818,3.1,8.5,11.6,3.3,1.1,2.0,2.7,25.3,"MVP-4,AS",1976-77,1977
9.0,John Drew,22.0,ATL,SF,74.0,,36.3,9.3,19.1,0.487,5.6,7.8,0.714,3.8,5.3,9.1,1.8,1.4,0.4,3.7,24.2,,1976-77,1977
10.0,Elvin Hayes,31.0,WSB,PF,82.0,,41.0,9.3,18.5,0.501,5.1,7.5,0.687,3.5,9.0,12.5,1.9,1.1,2.7,3.8,23.7,"MVP-7,AS,NBA1",1976-77,1977
11.0,George Gervin,24.0,SAS,SF,82.0,82.0,33.0,8.9,16.3,0.544,5.4,6.5,0.833,1.6,3.9,5.5,2.9,1.3,1.3,3.5,23.1,"MVP-11,AS,NBA2",1976-77,1977
12.0,Dan Issel,28.0,DEN,C,79.0,,31.7,8.4,16.2,0.515,5.6,7.1,0.797,2.7,6.1,8.8,2.2,1.2,0.4,3.1,22.3,AS,1976-77,1977
13.0,Ron Boone,30.0,KCK,SG,82.0,82.0,36.8,9.1,19.2,0.474,4.0,4.7,0.844,1.6,2.4,3.9,4.1,1.5,0.2,3.1,22.2,,1976-77,1977
14.0,Larry Kenon,24.0,SAS,PF,78.0,,37.6,9.1,18.4,0.492,3.8,4.6,0.823,3.6,7.7,11.3,2.9,2.1,0.8,2.4,21.9,,1976-77,1977
15.0,Rick Barry,32.0,GSW,SF,79.0,,36.8,8.6,19.6,0.44,4.5,5.0,0.916,0.9,4.4,5.3,6.0,2.2,0.7,2.5,21.8,AS,1976-77,1977
